scenario,cfads_y1,cfads_y2,cfads_y3,cfads_y4,cfads_y5,cfads_y6,cfads_y7,cfads_y8,cfads_y9,cfads_y10,cfads_y11,cfads_y12,cfads_y13,cfads_y14,cfads_y15,cfads_y16,cfads_y17,cfads_y18,cfads_y19,cfads_y20,cfads_y21,cfads_y22,cfads_y23,cfads_y24,dscr_y1,dscr_y2,dscr_y3,dscr_y4,dscr_y5,dscr_y6,dscr_y7,dscr_y8,dscr_y9,dscr_y10,dscr_y11,dscr_y12,dscr_y13,dscr_y14,dscr_y15,dscr_y16,dscr_y17,dscr_y18,dscr_y19,dscr_y20,dscr_y21,dscr_y22,dscr_y23,dscr_y24,debt_y1,debt_y2,debt_y3,debt_y4,debt_y5,debt_y6,debt_y7,debt_y8,debt_y9,debt_y10,debt_y11,debt_y12,debt_y13,debt_y14,debt_y15,debt_y16,debt_y17,debt_y18,debt_y19,debt_y20,debt_y21,debt_y22,debt_y23,debt_y24
example_b,0.0,0.0,25949236.497313604,51187352.421968155,49469614.5750294,47808578.7541061,46202373.24183464,44649188.10569641,43147273.158518076,41694935.986295156,40290540.041116476,38932502.79704078,37619293.9668472,36349433.777650304,35121491.30343661,33934082.85264355,32785870.408964053,31675560.12361961,30601900.85740304,29563682.770847984,28559735.9609365,27588929.142808497,26650168.374987636,,inf,inf,0.0,0.0,0.0,2.869052071581956,5.6594797893281745,5.469559776509896,5.285908967998238,5.108320419185025,4.936594016643316,4.770536252632109,4.609960007044575,4.454684336554103,4.304534270720598,4.159340614827229,4.018939759225486,inf,inf,inf,inf,inf,inf,,76479979.8,76479979.8,76479979.8,73706805.01910862,70706229.90618415,67459607.63399987,63946762.335496485,60145863.72251582,56033291.42327074,51583488.19548757,46768801.10302617,41559309.66898294,35922639.937348165,29823763.28771934,23224778.752820946,16084677.486060888,8359087.915426504,1.0058283805847168e-07,1.0058283805847168e-07,1.0058283805847168e-07,1.0058283805847168e-07,1.0058283805847168e-07,1.0058283805847168e-07,
edge_extreme_stress,0.0,0.0,0.0,4880534.113278065,11171910.899569057,10605176.928228663,10063203.178937119,9544907.894420447,9049256.578644797,8575259.932004975,8121971.876723204,7688487.668516848,7273942.090766113,6877507.727577301,6498393.312294799,6135842.148165413,5789130.598002847,5457566.639837674,5140488.485670009,4837263.260567921,4547285.739475147,4269977.139206816,4004783.963222053,3751176.8968676897,inf,inf,inf,0.0,0.0,0.0,0.0,0.23418272528373188,0.5360619310026428,0.5088683282454595,0.482862795511648,0.4579934268293138,0.43421058396319817,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,152533368.0625,152533368.0625,152533368.0625,152533368.0625,152533368.0625,152533368.0625,152533368.0625,152533368.0625,152533368.0625,152533368.0625,152533368.0625,152533368.0625,152533368.0625,152533368.0625,152533368.0625,152533368.0625,152533368.0625,152533368.0625,152533368.0625,152533368.0625,152533368.0625,152533368.0625,152533368.0625,
zz_bad,0.0,0.0,-300000.0,-300000.0,-300000.0,-300000.0,-300000.0,-300000.0,-300000.0,-300000.0,-300000.0,-300000.0,-300000.0,-300000.0,-300000.0,-300000.0,-300000.0,-300000.0,-300000.0,-300000.0,-300000.0,-300000.0,-300000.0,,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,
example_a,0.0,0.0,23083325.478367426,45763738.79294645,44174679.70774924,42639617.77593252,41156718.14276977,39724208.30296691,38340375.981992304,37003567.089400336,35712183.74170226,34464682.35242111,33259571.78704758,32095411.580691595,30970810.216299158,29884423.461376373,28834952.761232514,27821143.686821707,26841784.43532776,25895704.381700117,24981772.679409336,24098896.908749793,23246021.77107383,,inf,inf,0.0,0.0,0.0,2.2459370416926983,4.452671960881472,4.2980613670037675,4.148704531170452,4.004422927622734,3.8650440970111033,3.730401440255208,3.6003340194084936,3.474686365289579,3.353308291650434,3.236054715659222,3.1227854844832446,3.013365207764703,2.9076630957890255,inf,inf,inf,inf,,100344600.0,100344600.0,100344600.0,97090906.97230439,93609455.43267009,89884302.2852614,85898388.41753408,81633460.57906586,77069987.79190487,72187071.9096426,66962351.91562198,61371901.522019915,55390119.60086571,48989612.9452307,42141070.82370125,34813130.75366473,26972234.878725655,18582476.29254085,9605434.605323102,1.1362135410308838e-07,1.1362135410308838e-07,1.1362135410308838e-07,1.1362135410308838e-07,
