source_member,sha256,size_bytes,archive_instance,canonical_corpus_path,disposition
3. Standards Compliance Certifications-AC/32. ENPCS 2520 IEC 62477 Certificate.pdf,f42e72f0c27c71dd346057a74820996b2b5fbb0264d01a88d805ca4619a0a94c,1541424,first_instance,oem/envision/compliance_evidence/certificates/32_CERT_ENPCS2520_IEC_62477.pdf,existing-byte-identical-no-copy
3. Standards Compliance Certifications-AC/33.34. ENPCS-2520_IEC 62109-1&-2_CER.pdf,55742a1d30c539380d83f01fe2ca882fd361ce4764dafa9ab93cda88645ea282,443783,first_instance,oem/envision/compliance_evidence/certificates/33-34_CERT_ENPCS2520_IEC_62109-1_and_2.pdf,existing-byte-identical-no-copy
3. Standards Compliance Certifications-AC/Standards Compliance List.xlsx,7585c0adbc197791fe813e538f18e89145b69ab68375a9450a2b96a3b0f85b69,10583,first_instance,oem/envision/compliance_evidence/Standards_Compliance_List.xlsx,existing-byte-identical-no-copy
3. Standards Compliance Certifications-AC/ENPCS 2520 IEC 61000 Certificate.pdf,487dc75a07ef808d5cb54c1e70f76f0d34cedabdedace0202d61a9ffa62f0254,1632121,first_instance,oem/envision/compliance_evidence/certificates/29_CERT_ENPCS2520_IEC_61000.pdf,existing-byte-identical-no-copy
3. Standards Compliance Certifications-AC/ENPCS 2520_EN 50530_report_coverpage.pdf,2d5757d19bee786404c800cfd0a16cad2eb1f424597dfde4026ab43af3ec6e40,102782,first_instance,oem/envision/compliance_evidence/certificates/38_COVER_ENPCS2520_EN_50530.pdf,existing-byte-identical-no-copy
3. Standards Compliance Certifications-AC/ENPCS-2520_IEC 60529_Test Report.pdf,9ffb6128e7d37b0684bf9076055583914ac2e79f274ccddfcf4839a34910bf95,387341,first_instance,oem/envision/compliance_evidence/certificates/35_REPORT_ENPCS2520_IEC_60529.pdf,existing-byte-identical-no-copy
3. Standards Compliance Certifications-AC/ENPCS-2520_IEC 62909-1 _CER.pdf,aa25d39577daab9799bf2967b85b2abaae3658fcb8b141a2fb78c2b7a4b6f5a7,443800,first_instance,oem/envision/compliance_evidence/certificates/31_CERT_ENPCS2520_IEC_62909-1.pdf,existing-byte-identical-no-copy
18. Envision Energy_Recommended Foundation of ENS-D Series V1.1.pdf,ba702fe2093d2968edf0af0329b3010d413a78847891370b47fa23e3c9d17cff,5090002,first_instance,oem/envision/product_docs/18_Envision_Recommended_Foundation_of_ENSD_Series_V1.1.pdf,existing-byte-identical-no-copy
2. Standards Compliance Certifications-DC/28. UN38.3.pdf,05dc77529eb38424bb6c899d6ab68624e93d4b06f64916a9ded3a198fcc710d5,3114272,first_instance,oem/envision/compliance_evidence/certificates/28_UN38.3.pdf,existing-byte-identical-no-copy
2. Standards Compliance Certifications-DC/Standards Compliance List.xlsx,7585c0adbc197791fe813e538f18e89145b69ab68375a9450a2b96a3b0f85b69,10583,intra_archive_duplicate,oem/envision/compliance_evidence/Standards_Compliance_List.xlsx,existing-byte-identical-no-copy
2. Standards Compliance Certifications-DC/21. IEC 63056-2020&EN 62477-1-2022)-RACK-(J&H)-CERT-(R 50736298 0001).pdf,0262d472c8e4086fe5ed291ff98f6a9cb4e8150dd1223579b39748dd6a7c460f,331207,first_instance,oem/envision/compliance_evidence/certificates/21_CERT_IEC_63056_2020_EN_62477-1_2022_RACK.pdf,existing-byte-identical-no-copy
2. Standards Compliance Certifications-DC/17. (IEC 62619-2022)-CELL-(HC-L755A)-(J&H)-CERT-(DK-178071-UL).pdf,234e9313e91826d431d1601c32ac3ad8e04e8a5308abd86ce777aa054480fdfb,257608,first_instance,oem/envision/compliance_evidence/certificates/17c_CERT_IEC_62619_2022_CELL_HC-L755A.pdf,existing-byte-identical-no-copy
2. Standards Compliance Certifications-DC/26. (UL 9540A-2019)-CELL-(HC-L755A)-(J&H)-REP-(4792030035).pdf,fee792a50cb38cf6c2b546d96b81027f0f70803d86a5e6f7773fafa69551f571,93284,first_instance,oem/envision/compliance_evidence/certificates/26_REPORT_UL_9540A_2019_CELL_HC-L755A.pdf,existing-byte-identical-no-copy
2. Standards Compliance Certifications-DC/27. (UL 1973-2022)-CELL-(HC-L755A)-(J&H)-CERT-(UL-US-26111342-0).pdf,1de664d3c8f0eb8a69a6a03a26f680dee57c43c285f59b30a63adc1d00e1c512,349710,first_instance,oem/envision/compliance_evidence/certificates/27_CERT_UL_1973_2022_CELL_HC-L755A.pdf,existing-byte-identical-no-copy
17. Envision Energy_BESS Dismantling Technical Description 10MWh_V2.0.pdf,91d62a381e91334825dd6c8484d33ef9e66be035cef15fc1bf699d35e53d06ad,3112248,first_instance,oem/envision/product_docs/17_Envision_BESS_Dismantling_Technical_Description_10MWh_V2.0.pdf,existing-byte-identical-no-copy
5. Envision Energy_Technical Specifications of Power Conversion System_ENPCS 2520_V1.0.pdf,2bf05e70bd19e87aca586ae4575e60ace4d1bb2598a17638e361d0a199eb17ab,2044361,first_instance,oem/envision/product_docs/05_Envision_Technical_Specifications_PCS_ENPCS2520_V1.0.pdf,existing-byte-identical-no-copy
19. Envision BESS Transportation Technical Description_ENS-D Series_V1.0.pdf,733960004cc142019e719f45a9c0702c0b980a59d08733c0845615f7100b7c28,1132708,first_instance,oem/envision/product_docs/19_Envision_BESS_Transportation_Technical_Description_ENSD_Series_V1.0.pdf,existing-byte-identical-no-copy
7. Envision Energy_Fire Protection System Specification of ENS-D_V2.0.pdf,868006ff98e4af7ef47609dadf6855d5990663c3170a9a560b0476d458b9892d,796439,first_instance,oem/envision/product_docs/07_Envision_Fire_Protection_System_Specification_ENSD_V2.0.pdf,existing-byte-identical-no-copy
15. Envision BESS Maintenance Technical Description_ENS-D Series_V1.0.pdf,578be8f708458d01417d2f6845b2797a14fd4fb80d571e5d2dfb85641520121f,709371,first_instance,oem/envision/product_docs/15_Envision_BESS_Maintenance_Technical_Description_ENSD_Series_V1.0.pdf,existing-byte-identical-no-copy
10. Technical proposal/Sri Lanka 11MW_44MWh.pdf,0cf77ec5d7615c611e0a5cbbf7ab8c3f8a6a722e5b31e42a25fad27f88841e86,332487,first_instance,oem/envision/Envision_Sri_Lanka_11MW_44MWh_Design_Calculation_V1.0_2026-08-05.pdf,existing-byte-identical-no-copy
10. Technical proposal/Sri Lanka 10MW_40MWh 35C.pdf,5c619a2ce73733f0eed0332cd68d02e91de23cbce9a0b5c92201e2728276c97c,336102,first_instance,oem/envision/Envision_Sri_Lanka_10MW_40MWh_Design_Calculation_V1.0_2026-08-05_superseding.pdf,existing-byte-identical-no-copy
4. Envision Energy_Battery Cell and Pack Specification of ENS-D10_V1.1.pdf,7ee0030cc0d46c3b1ee6fbf400fd5f529054906f65c7d906434add9dd6ba9357,620258,first_instance,oem/envision/product_docs/04_Envision_Battery_Cell_and_Pack_Specification_ENSD10_V1.1.pdf,existing-byte-identical-no-copy
12. Envision BESS Sales Track Record_2026.8.25.pdf,bab6d1ee4511a3af4c995bd3c83fd0bf32266252e8ab44d7f7c813b3c0b55eb8,608539,first_instance,oem/envision/compliance_evidence/12_Envision_BESS_Sales_Track_Record_2026-08-25.pdf,existing-byte-identical-no-copy
9. Envision Energy_Layout Instruction of  BESS System__ENS-D Seires V1.0.pdf,62af9a2c395003cf14d1c2bb11979931ca0a74d7f64ef5f19cc1426f61f9d910,568332,first_instance,oem/envision/product_docs/09_Envision_Layout_Instruction_BESS_System_ENSD_Series_V1.0.pdf,existing-byte-identical-no-copy
6. Envision Energy_Technical Specifications of Envision 10100kVA Transformer_V1.1.pdf,836cc82f5b7df0e76196cd34d22234d8850f3723216e49ee04aef4e0eb54d320,413579,first_instance,oem/envision/product_docs/06_Envision_Technical_Specifications_10100kVA_Transformer_V1.1.pdf,existing-byte-identical-no-copy
1. Technical Specifications.pdf,d535d7f0da16dc3d9cef099fb51503e5b436aee14e60fddab050141db140809b,396391,first_instance,oem/envision/product_docs/01_Technical_Specifications.pdf,existing-byte-identical-no-copy
20. Envision Energy_Electrical Primary Diagram of BESS_ENS-D6G-24120-10100-000_0.25P-4h V2.1.pdf,8f1f0a8bff28982d271f3d5d08646d85186dea3cd9fceb49a08e28aa364136e4,232211,intra_archive_duplicate,oem/envision/product_docs/20_Envision_Electrical_Primary_Diagram_ENS-D6G-24120-10100-000_0.25P4h_V2.1.pdf,existing-byte-identical-no-copy
22. Envision Product Warranty Policy.pdf,2ac08c42431b9c1d8a60e066710de95724f9b4fcc7ec3c9409c6a5e527c8c9cf,151470,first_instance,oem/envision/commercial/22_Envision_Product_Warranty_Policy.pdf,existing-byte-identical-no-copy
25. Envision Energy_Contract Spare Parts List Tool V2.0.pdf,0bd3f9dc91c3a2d77a0a2733b6bba6eebf27f83a6f28afead1452a8ea159539a,71328,first_instance,oem/envision/commercial/25_Envision_Contract_Spare_Parts_List_Tool_V2.0.pdf,existing-byte-identical-no-copy
23. LTSA Solution.xlsx,53a51d5c3c9cf91763f01b35086bb1bf2e97ba4357a0265d7b26223547be4123,30990,first_instance,oem/envision/commercial/23_LTSA_Solution.xlsx,existing-byte-identical-no-copy
13. BESS Supplier Experience（part).xlsx,55b074f1f6c08cb71ab26678521e5e8da3a1fe3c0e0d2de4339a64715290c7c2,14082,first_instance,oem/envision/compliance_evidence/13_BESS_Supplier_Experience_part.xlsx,existing-byte-identical-no-copy
"16. Details of auxiliary Power consumption during charging, discharging and idle.txt",2a3c236c83bc86ca237ff38297f7ab2012d84274a06d2f05b23a5bf064659e7d,39,first_instance,oem/envision/compliance_evidence/16_Details_of_auxiliary_Power_consumption_charging_discharging_idle.txt,existing-byte-identical-no-copy
