scenario,file,npv,irr,dscr_min,dscr_max,dscr_mean,dscr_median,max_debt_outstanding,final_debt_outstanding,total_cfads,final_cfads,mean_operational_cfads,total_idc_capitalized,grace_years,timeline_periods
edge_extreme_stress,edge_extreme_stress.yaml,0.0,,0.0,0.5360619310026428,0.26541797908359943,0.33419665462346504,152533368.0625,152533368.0625,144284067.07197696,3751176.8968676897,6870669.860570331,29283368.0625,0,23
example_a,example_a.yaml,0.0,,0.0,4.452671960881472,2.9090259144518904,3.353308291650434,100344600.0,1.1362135410308838e-07,689993591.0359782,23246021.77107383,32856837.66837991,10344600.000000002,2,23
example_b,example_b.json,0.0,,0.0,5.6594797893281745,3.7097940188167144,4.454684336554103,76479979.8,1.0058283805847168e-07,779781745.1190639,26650168.374987636,37132464.05328876,8579979.8,1,23
